
Load in MNIST dataset from PyTorch

Closing the loop on MNIST with Convolution Networks
Model moved to GPU

Train our network using the Adam optimizer.
epochs: 0 loss: 2.300062929643497 Accuracy: 7.720682302771855
epochs: 1 loss: 2.2942179540581287 Accuracy: 9.480810234541577
epochs: 2 loss: 2.287928874812909 Accuracy: 11.67910447761194
epochs: 3 loss: 2.2814138843052425 Accuracy: 14.146055437100213
epochs: 4 loss: 2.2749653086225106 Accuracy: 16.16098081023454
epochs: 5 loss: 2.2676574850895768 Accuracy: 18.250533049040513
epochs: 6 loss: 2.260159821144299 Accuracy: 20.49040511727079
epochs: 7 loss: 2.2513249416086976 Accuracy: 22.872068230277186
epochs: 8 loss: 2.242349360797451 Accuracy: 24.658848614072493
epochs: 9 loss: 2.231488998002335 Accuracy: 26.797441364605543
epochs: 10 loss: 2.2193931661435027 Accuracy: 28.66311300639659
epochs: 11 loss: 2.2054358911412613 Accuracy: 30.266524520255864
epochs: 12 loss: 2.189227591445451 Accuracy: 32.0319829424307
epochs: 13 loss: 2.1703753140943647 Accuracy: 33.21641791044776
epochs: 14 loss: 2.148130804236764 Accuracy: 34.298507462686565
epochs: 15 loss: 2.1213037065351443 Accuracy: 35.53518123667377
epochs: 16 loss: 2.0900318018917337 Accuracy: 36.440298507462686
epochs: 17 loss: 2.0517301014237312 Accuracy: 37.07462686567164
epochs: 18 loss: 2.005935374480575 Accuracy: 37.83475479744136
epochs: 19 loss: 1.949929313237733 Accuracy: 38.5863539445629
epochs: 20 loss: 1.8833807563222547 Accuracy: 39.31663113006397
epochs: 21 loss: 1.8046116568386428 Accuracy: 40.37846481876333
epochs: 22 loss: 1.7129997802949917 Accuracy: 41.51705756929638
epochs: 23 loss: 1.611697601611172 Accuracy: 42.491471215351815
epochs: 24 loss: 1.5019813640031225 Accuracy: 43.77398720682303
epochs: 25 loss: 1.3877099486810567 Accuracy: 44.84434968017057
epochs: 26 loss: 1.27753993481207 Accuracy: 45.92324093816631
epochs: 27 loss: 1.1707301882665548 Accuracy: 46.905117270788914
epochs: 28 loss: 1.0730848369567887 Accuracy: 47.852878464818765
epochs: 29 loss: 0.9865861417515192 Accuracy: 48.588486140724946
epochs: 30 loss: 0.911392067604736 Accuracy: 49.3816631130064
epochs: 31 loss: 0.8479780701558981 Accuracy: 49.97974413646055
epochs: 32 loss: 0.7925418805338935 Accuracy: 50.60127931769723
epochs: 33 loss: 0.7441446796409102 Accuracy: 51.311300639658846
epochs: 34 loss: 0.7049532983221733 Accuracy: 51.77185501066098
epochs: 35 loss: 0.6686616137719104 Accuracy: 52.33262260127932
epochs: 36 loss: 0.6366232419128357 Accuracy: 52.86993603411514
epochs: 37 loss: 0.610393729005287 Accuracy: 53.19936034115138
epochs: 38 loss: 0.5883186625392198 Accuracy: 53.54584221748401
epochs: 39 loss: 0.5666030259973713 Accuracy: 53.87100213219616
